"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"63680099999","2017-01-11T09:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","060,1,N,0010,1","99999,9,9,N","005000,1,9,9","+0266,1","+0176,1","99999,9",,,,"01,1,+00690,1,08,1","04,1,+07800,1,02,1",,,"9,AGL   ,+99999,+99999","04,99,1,01,1,99,9,00690,1,99,9,99,9",,,,,,"SYN08063680 32550 40602 10266 20176 3//// 48/// 81808 333 5//// 81823 84276 555 10206=",
"63680099999","2017-01-11T12:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0306,1","+0156,1","99999,9",,,,"03,1,+00780,1,08,1","01,1,+00840,1,09,1",,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00780,1,99,9,99,9",,,,,,"SYN07463680 32560 30000 10306 20156 3//// 48/// 83901 333 83826 81928 555 10206=",
"63680099999","2017-01-11T15:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","170,1,N,0015,1","08400,1,9,N","010000,1,9,9","+0278,1","+0169,1","99999,9",,,,"06,1,+08400,1,00,1",,,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,08400,1,99,9,99,9","240,M,+0318,1",,,,,"SYN08063680 32560 61703 10278 20169 3//// 48/// 80002 333 10318 5//// 86078 555 10205=",
"63680099999","2017-01-12T06:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","003000,1,9,9","+0206,1","+0167,1","99999,9",,"4,1,02,1","4,1,02,1","00,1,+99999,9,99,9",,,,"9,AGL   ,+99999,+99999","00,99,5,00,1,99,9,99999,9,99,9,99,9","240,N,+0183,1",,,"05,1",,"SYN08663680 31830 00000 10206 20167 3//// 48/// 70544 80000 333 20183 55086 5//// 555 10180=",
"63680099999","2017-01-12T09:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0282,1","+0144,1","99999,9",,,,,,,,,"00,99,5,99,9,99,9,99999,9,99,9,99,9","240,N,+0183,1",,,,,"SYN05663680 32860 00000 10282 20144 48/// 333 20183 555 10190=",
"63680099999","2017-01-13T06:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","003000,1,9,9","+0195,1","+0143,1","99999,9",,"4,1,02,1","4,1,02,1","00,1,+99999,9,99,9",,,,"9,AGL   ,+99999,+99999","00,99,5,00,1,99,9,99999,9,99,9,99,9","240,N,+0180,1",,,"05,1",,"SYN07463680 31830 00000 10195 20143 48/// 70544 80000 333 20180 55098 555 10160=",
"63680099999","2017-01-13T09:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","100,1,N,0021,1","99999,9,9,N","008000,1,9,9","+0276,1","+0177,1","99999,9",,,,"02,1,+00720,1,08,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,00720,1,99,9,99,9",,,,,,"SYN06263680 32558 21004 10276 20177 48/// 82000 333 82824 555 10210=",
"63680099999","2017-01-13T12:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","140,1,N,0026,1","99999,9,9,N","010000,1,9,9","+0295,1","+0168,1","99999,9",,,,"03,1,+00780,1,08,1","01,1,+00840,1,09,1",,,"9,AGL   ,+99999,+99999","04,99,1,03,1,99,9,00780,1,99,9,99,9",,,,,,"SYN06863680 32560 41405 10295 20168 48/// 84900 333 83826 81928 555 10210=",
"63680099999","2017-01-13T15:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","020000,1,9,9","+0280,1","+0160,1","99999,9",,,,"00,1,+99999,9,99,9",,,,"9,AGL   ,+99999,+99999","00,99,5,00,1,99,9,99999,9,99,9,99,9","240,M,+0306,1",,,,,"SYN06263680 32870 00000 10280 20160 48/// 80000 333 10306 555 10200=",
"63680099999","2017-01-14T06:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","340,1,N,0010,1","03300,1,9,N","003000,1,9,9","+0216,1","+0177,1","99999,9",,"4,1,02,1","4,1,02,1","03,1,+00540,1,06,1","01,1,+00600,1,09,1","05,1,+03300,1,03,1",,"9,AGL   ,+99999,+99999","05,99,1,03,1,99,9,00540,1,99,9,99,9","240,N,+0199,1",,,"05,1",,"SYN10463680 31430 53402 10216 20177 3//// 48/// 70544 8394/ 333 20199 55095 5//// 83618 81920 85361 555 10190=",
"63680099999","2017-01-14T09:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","280,1,N,0015,1","99999,9,9,N","006000,1,9,9","+0280,1","+0153,1","99999,9",,,,"04,1,+04500,1,03,1",,,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,04500,1,99,9,99,9",,,,,,"SYN07463680 32556 42803 10280 20153 3//// 48/// 80040 333 5//// 84365 555 10195=",
"63680099999","2017-01-14T12:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","170,1,N,0021,1","99999,9,C,N","009000,1,9,9","+0290,1","+0155,1","99999,9",,,,"04,1,+00720,1,08,1","01,1,+00780,1,09,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00720,1,99,9,99,9",,,,,,"SYN08063680 32559 41704 10290 20155 3//// 48/// 84900 333 5//// 84824 81926 555 10200=","Q01 007803SCOCIG"
"63680099999","2017-01-14T15:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","170,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0278,1","+0158,1","99999,9",,,,"02,1,+00690,1,08,1","01,1,+00750,1,09,1",,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,00690,1,99,9,99,9","240,M,+0314,1",,,,,"SYN08063680 32560 21703 10278 20158 3//// 48/// 82900 333 10314 82823 81925 555 10198=",
"63680099999","2017-01-15T06:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","003000,1,9,9","+0216,1","+0192,1","99999,9",,"4,1,02,1","4,1,02,1","03,1,+06900,1,00,1",,,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,06900,1,99,9,99,9","240,N,+0189,1",,,"05,1",,"SYN08063680 31530 30000 10216 20192 48/// 70544 80002 333 20189 55084 83073 555 10200=",
"63680099999","2017-01-15T09:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","150,1,N,0021,1","99999,9,C,N","007000,1,9,9","+0280,1","+0190,1","99999,9",,,,"04,1,+00720,1,08,1","01,1,+00780,1,09,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00720,1,99,9,99,9",,,,,,"SYN06863680 32557 41504 10280 20190 48/// 84900 333 84824 81926 555 10220=","Q01 007803SCOCIG"
